,index,balance,net_worth,open_amount,price_x,step,symbol,type,amount,price_y
179,179,0.654056826889537,10846.832853256497,2.1689985600000017,3848.2933637285546,179,ETH/BTC,TradeType.LIMIT_BUY,0.00917031,3848.2933637285546
180,180,0.654056826889537,10846.832853256497,2.1689985600000017,3878.667931301951,,,,,
181,181,0.654056826889537,10841.18674248272,2.1689985600000017,3862.3091224214795,,,,,
182,182,0.654056826889537,10852.478964030277,2.1689985600000017,3861.2146499610135,,,,,
183,183,0.654056826889537,10858.125074804057,2.1689985600000017,3864.1271844506623,,,,,
184,184,4156.965012448489,15987699.288096758,1.0844992800000017,3832.47,184,ETH/BTC,TradeType.LIMIT_SELL,1.08449928,3832.47
185,185,4156.965012448489,15987699.288096758,1.0844992800000017,3844.0,,,,,
186,186,1078.4023018855669,4155840.6262249155,1.8790875900000017,3874.4122859835707,186,ETH/BTC,TradeType.MARKET_BUY,0.79458831,3874.4122859835707
187,187,2876.491760094923,11071284.029228909,1.4093156900000017,3827.5798493042175,187,ETH/BTC,TradeType.MARKET_SELL,0.4697719,3827.5798493042175
188,188,1464.1930079763624,5639580.495589767,1.7758694500000016,3852.9102855705546,188,ETH/BTC,TradeType.MARKET_BUY,0.36655376,3852.9102855705546
189,189,743.7593760694222,2868789.913169407,1.9624527900000017,3861.1894926253344,189,ETH/BTC,TradeType.MARKET_BUY,0.18658334,3861.1894926253344
190,190,2620.600296646772,10087110.036263272,1.4718395900000016,3825.500252698766,190,ETH/BTC,TradeType.MARKET_SELL,0.4906132,3825.500252698766
191,191,2620.600296646772,10087110.036263272,1.4718395900000016,3846.0,,,,,
192,192,688.2893063791721,2655436.187101055,1.9727575300000018,3857.54,192,ETH/BTC,TradeType.LIMIT_BUY,0.50091794,3857.54
193,193,180.1401726477489,701456.6903730256,2.1042530800000017,3864.38273942672,193,ETH/BTC,TradeType.MARKET_BUY,0.13149555,3864.38273942672
194,194,8264.25725875508,31809126.188948303,1.7763568394002505e-15,3841.7988610511297,194,ETH/BTC,TradeType.LIMIT_SELL,2.10425308,3841.7988610511297
195,195,8264.25725875508,31825654.703465812,1.7763568394002505e-15,3812.114996221807,,,,,
196,196,8264.25725875508,31825654.703465812,1.7763568394002505e-15,3837.6777140753434,,,,,
197,197,8264.25725875508,31825654.703465812,1.7763568394002505e-15,3843.854991526007,,,,,
198,198,8264.25725875508,31809126.188948303,1.7763568394002505e-15,3846.378730891732,,,,,
199,199,8264.25725875508,31809126.188948303,1.7763568394002505e-15,3844.4516523757143,,,,,
200,200,6233.03176234748,23992964.40542057,0.5262869400000018,3859.54,200,ETH/BTC,TradeType.LIMIT_BUY,0.52628694,3859.54
201,201,6738.195153188843,25936832.008713454,0.39471520000000176,3839.4520802214993,201,ETH/BTC,TradeType.LIMIT_SELL,0.13157174,3839.4520802214993
202,202,7873.334887532843,30289098.831003647,0.09867880000000179,3834.46,202,ETH/BTC,TradeType.LIMIT_SELL,0.2960364,3834.46
203,203,2067.9032463719423,7957255.374048637,1.604420330000002,3855.53,203,ETH/BTC,TradeType.LIMIT_BUY,1.50574153,3855.53
204,204,545.6948533891214,2105884.3190394114,1.999897960000002,3849.037916462736,204,ETH/BTC,TradeType.MARKET_BUY,0.39547763,3849.037916462736
205,205,8210.243788150321,31568387.365437984,1.9984014443252818e-15,3832.47,205,ETH/BTC,TradeType.LIMIT_SELL,1.99989796,3832.47
206,206,8210.243788150321,31584807.853014283,1.9984014443252818e-15,3818.740069597936,,,,,
207,207,2171.769277303273,8360832.1583076315,1.569357390000002,3847.7370096349105,207,ETH/BTC,TradeType.MARKET_BUY,1.56935739,3847.7370096349105
208,208,8186.284393756573,31476263.493994024,1.9984014443252818e-15,3832.47,208,ETH/BTC,TradeType.LIMIT_SELL,1.56935739,3832.47
209,209,8186.284393756573,31492636.06278154,1.9984014443252818e-15,3846.0,,,,,
210,210,8186.284393756573,31476263.493994024,1.9984014443252818e-15,3809.2287949885445,,,,,
211,211,122.88232389218683,480506.7151146984,2.087455710000002,3862.7895342816096,211,ETH/BTC,TradeType.MARKET_BUY,2.08745571,3862.7895342816096
212,212,2122.9101796992863,8168607.775746075,1.5655917800000023,3832.47,212,ETH/BTC,TradeType.LIMIT_SELL,0.52186393,3832.47
213,213,1078.3272315725776,4153226.776382001,1.8362567600000024,3859.3206558406955,213,ETH/BTC,TradeType.MARKET_BUY,0.27066498,3859.3206558406955
214,214,2826.3859678663416,10872747.974685162,1.3771925700000023,3807.874311202022,214,ETH/BTC,TradeType.MARKET_SELL,0.45906419,3807.874311202022
215,215,6784.9228840084415,26089351.97106262,0.34429814000000225,3832.47,215,ETH/BTC,TradeType.LIMIT_SELL,1.03289443,3832.47
216,216,8103.777710186472,31142817.740246613,2.275957200481571e-15,3830.560415394723,216,ETH/BTC,TradeType.LIMIT_SELL,0.34429814,3830.560415394723
217,217,8103.777710186472,31142817.740246613,2.275957200481571e-15,3808.7199787242466,,,,,
218,218,8103.777710186472,31126610.18482624,2.275957200481571e-15,3832.25307714557,,,,,
